frame_index,time_s,icao,type_code,altitude,speed,heading,latitude,longitude
0,0.0,11259375,19,3000.0,220.0,80.0,39.90017674455551,116.40130658722182
1,1.0,11259375,19,3010.0,220.2,81.5,39.90032732637315,116.40261995379603
2,2.0,11259375,19,3020.0,220.4,83.0,39.90045159434065,116.40393920846935
3,3.0,11259375,19,3030.0,220.6,84.5,39.90054941520892,116.40526345430146
4,4.0,11259375,19,3040.0,220.8,86.0,39.90062067371632,116.40659178927649
5,5.0,11259375,19,3050.0,221.0,87.5,39.90066527270071,116.40792330691909
6,6.0,11259375,19,3060.0,221.2,89.0,39.900683133199145,116.40925709691476
7,7.0,11259375,19,3070.0,221.4,90.5,39.9006741945352,116.41059224573382
8,8.0,11259375,19,3080.0,221.6,92.0,39.900638414393704,116.4119278372591
9,9.0,11259375,19,3090.0,221.8,93.5,39.90057576888297,116.41326295341611
10,10.0,11259375,19,3100.0,222.0,95.0,39.90048625258434,116.41459667480603
11,11.0,11259375,19,3110.0,222.2,96.5,39.90036987858901,116.41592808134055
12,12.0,11259375,19,3120.0,222.4,98.0,39.900226678522195,116.41725625287853
13,13.0,11259375,19,3130.0,222.6,99.5,39.90005670255438,116.41858026986353
14,14.0,11259375,19,3140.0,222.8,101.0,39.89986001939985,116.41989921396231
15,15.0,11259375,19,3150.0,223.0,102.5,39.89963671630234,116.42121216870339
16,16.0,11259375,19,3160.0,223.2,104.0,39.899386899007794,116.4225182201157
17,17.0,11259375,19,3170.0,223.4,105.5,39.89911069172435,116.42381645736623
18,18.0,11259375,19,3180.0,223.6,107.0,39.89880823706943,116.42510597339697
19,19.0,11259375,19,3190.0,223.8,108.5,39.898479696003946,116.42638586556006
